Product type,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Latitude,Longitude
haircare,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,0.2264103608499251,Road,Route B,187.75207545920392,19.054999,72.8692035
skincare,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,4.854068026388706,Road,Route B,503.0655791496692,19.054999,72.8692035
haircare,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,4.580592619199229,Air,Route C,141.92028177151906,19.054999,72.8692035
skincare,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,4.74664862064775,Rail,Route A,254.77615921928663,22.5726459,88.3638953
skincare,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,3.145579522833002,Air,Route A,923.4406317119222,28.6273928,77.1716954
haircare,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,2.7791935115711617,Road,Route A,235.4612367355375,12.9881567,77.6226
skincare,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,1.0009106193041355,Sea,Route A,134.36909686103172,22.5726459,88.3638953
cosmetics,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,0.3981771868506506,Road,Route C,802.0563118175586,12.9881567,77.6226
cosmetics,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,2.709862691109961,Sea,Route B,505.55713422546415,19.054999,72.8692035
skincare,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,3.844614478767585,Rail,Route B,995.9294614986416,13.0836939,80.270186
skincare,15.707795681912138,11,996,2330.965802091949,Non-binary,51,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,1.7273139283559424,Road,Route B,806.103177702923,22.5726459,88.3638953
skincare,90.63545998228868,95,960,6099.944115581452,Female,46,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,0.0211698213729943,Air,Route A,126.72303340940724,22.5726459,88.3638953
haircare,71.21338907536008,41,336,2873.7414460214413,Unknown,100,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,2.161253747555912,Road,Route B,402.9687890737706,22.5726459,88.3638953
skincare,16.160393317379977,5,249,4052.738416237866,Male,80,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,1.6310742300715386,Road,Route B,547.2410051609685,12.9881567,77.6226
skincare,99.1713286386242,26,562,8653.570926469802,Non-binary,54,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,0.1006828515650937,Air,Route B,929.2352899608896,22.5726459,88.3638953
skincare,36.98924492862691,94,469,5442.086785397673,Non-binary,9,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,2.264405761198549,Sea,Route B,127.8618000016254,12.9881567,77.6226
skincare,7.547172109791272,74,280,6453.797968176285,Female,2,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,1.012563089258049,Air,Route A,865.5257797712403,12.9881567,77.6226
cosmetics,81.46253436923702,82,126,2629.396434845262,Female,45,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,0.1020207549181761,Air,Route C,670.9343907924103,13.0836939,80.270186
haircare,36.443627770460935,23,620,9364.673505076173,Unknown,10,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,2.231939110729264,Sea,Route A,593.4802587206518,22.5726459,88.3638953
skincare,51.12387008796474,100,187,2553.495584991215,Unknown,48,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,3.646450865417029,Road,Route C,477.3076310909034,13.0836939,80.270186
skincare,96.34107243996338,22,320,8128.027696851192,Unknown,27,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,4.231416573534539,Air,Route B,493.87121531620585,13.0836939,80.270186
